English,ISL-Gloss
He has good judgement for his age., he good his good judgement for his age have
Are you still angry at me?, you angry at still me
I don't feel like celebrating., i feel like celebrate no
It's very important to respect the rules., it very important very rule respect
I want the truth from you., i truth from you want
Do you have a receipt?, you receipt have
Do you want to talk to anyone?, you anyone want talk to
Basketball is a lot of fun., basketball lot of fun
I'm used to getting up early., i early use to get up
I sincerely feel sorry for you., i sorry for sincerely you feel
I hate this part of the movie., i this part of movie hate
We enjoyed skating., we skate enjoy skate
I can't drink alcohol., i alcohol drink no
The jail is overcrowded., jail overcrowd
I'm married and I have a daughter., i married i daughter have
Tom killed a man., tom man kill
She wore glasses., she glass wear
It's excruciatingly slow., it excruciatingly slow excruciatingly
I'll buy you that bracelet., i you that bracelet buy
This is a private matter., this private private matter
Are you thirsty?, you thirsty
I know where she lives., i she know live where
It may possibly be fine tomorrow., it fine possibly tomorrow
You're very perceptive., you very perceptive very
Tom went back to his bedroom., tom his back to his bedroom go back
Do you have to work tonight?, you tonight have work
Don't you remember what you said?, you you remember say what no
He refused to do much campaigning., he much much campaign refuse do
I can't find my wallet., i my my wallet find no
I'm feeling very confident., i very confident very feel very
Everyone will die., everyone die
You've certainly been busy., you busy certainly
He wants you to come home., he you home want come home
He suspects me of telling a lie., he me lie suspect tell
How can you not see that?, you that see how no
Please say it in English., it english say
He got the job., he job get
Don't be so hard on me., so hard so me no
I have nothing against the proposal., i nothing against proposal have
I don't have any choice., i any choice have no
Why shouldn't I do this?, i this do why no
You can wait here., you here wait here
Do you have two books?, you two book have
Tom just dumped Mary., tom just mary dump
Let me think this over., me this let think
Everybody congratulated Tom., everybody tom congratulate
I like doing stuff like that., i stuff like that do
I don't go to church., i church go to no
I can't swim., i swim no
Help me if you can., you me help
We heard gunshots from next door., we next gunshot next door hear
It's an old custom., it old old custom
That's not your fault., that your your fault no
Both cases were dismissed., both case both dismiss
Several students came to the library., several student library come to
Do you like robots?, you robot like
She lived a happy life., she happy happy life live
She had a basket full of apples., she full basket full apple have
The elevator is out of order., elevator order
Advance two steps., two step advance
Push the door open., open door open push
This passport is valid for five years., this passport valid for this five year
I want people to know the truth., i people truth want know
I don't follow., i follow no
Help me out here., me out here help
I don't understand what's happening to me., i me understand happen to what no
I have an urgent message from Tom., i urgent urgent message from tom have
I admire your bravery., i your your bravery admire
We're going dancing., we go dance
My dog is dreaming of a cat., my dog cat dream of
They sat in a circle., they circle sit in
Tom is an experienced driver., tom experience experience driver
Did you push the button?, you button push
You'll break it if you're not careful., you you careful it break no
Why did you open the box?, you box open why
I shouldn't have slept in., i in sleep in no
You must be kidding!, you kid
"I'd like some sugar, please.", i some sugar like
I want ice cream for dessert., i ice cream for dessert want
I'd like to take this with me., i this me like take
I need to get myself a lawyer., i myself lawyer need get
Do you have anything to read?, you anything read have read
No one will ever forget this., no one no ever this forget
We need time., we time need
Her classmates do not appreciate her., her classmate her appreciate no
We confirmed the hotel reservations by telephone., we hotel reservation by telephone confirm
Who believes that?, that believe who
You don't seem so busy., you busy so busy seem so no
She doesn't have the ticket., she ticket have no
I hate to argue with you., i you hate argue with
They handled it well., they it well handle
He was about to start., he about start start
I found the question very easy., i question very find
Security will be tightened., security tighten
The flower pot is broken., flower pot break
Who built the snowman?, snowman build who
I am in London., i london
There are no breakthroughs., there no breakthrough
We don't like the rain., we rain like no
The person responsible has been fired., person responsible fire
My whole body is sore., my whole body sore
This food is terrible., this food terrible this
I watched a movie yesterday afternoon., i movie yesterday afternoon watch
Is it love?, it love
I had some fun., i some fun have
I remember reading about it., i it remember read about
Tom doesn't have to worry about me., tom me have worry about no
It's a risk we'll have to take., it we risk have have take
The day is almost over., day almost over almost
I was at work., i work
He cut his finger with the knife., he his his finger knife cut
He lives in this neighborhood., he this neighborhood live in
He left Japan never to come back., he japan back leave come back no
I wash my hands before eating lunch., i my my hand lunch wash eat
She finished the job with ease., she job with ease finish
Take off your cap., your your cap take off
Is this my life?, this my my life
She used to hate him., she him use hate
You're not being very supportive., you very supportive very no
I'm just looking forward to going home., i just forward home look forward go home
Are you students at this school?, you student this school
What makes you happy?, you happy make what
I've got to go now., i now get go now
Tom has his father's eyes., tom his father 's father eye have
Do you know why?, you know why
This isn't enough., this enough no
Tom comes from Australia., tom australia come from
Are you mad about something?, you mad about something
I bought a good camera., i good good camera buy
I joined the navy., i navy join
I can't sleep with all this noise., i all this noise sleep with no
I baked it for you., i it you bake
I thought they wouldn't like you., i they you think like no
Where would you like to live?, you like live where
How do you define success?, you success define how
He became a Catholic., he catholic become
We have to do better., we good have do good
My phone rang again., my again
We saw a castle in the distance., we castle distance saw
How is Tom able to do that?, tom able do that do how
Politicians are good at raising money., politicians good at money raise
I've done everything., i everything do
We have to make sure they're ready., we sure they ready have make
I'm correcting my mistakes., i my my mistake correct
I'm not interested in your opinion., i interested in your your opinion no
I'll sue you., i you sue
I have a runny nose., i runny runny nose have
She asked him why he was crying., she he him ask cry why
He wants to get a new dictionary., he new new dictionary want get
We respect each other., we other each other respect
You're still young., you young still
"You are tired, aren't you?", you tire you no
I'm done with all of that., i all of that do with
Have you finished your French homework yet?, you your french your french homework yet finish
The ice cracked under the weight., ice weight crack under
Thank you for picking me up., you me thank pick
It's one of those., it one of those
What're we looking for?, we look for what
Why don't I call you?, i you call why no
I own this property., i this property own
Were you shot at?, you shoot at
I pretended that it didn't bother me., i it me pretend bother no
I envy him., i him envy
How can I make you understand?, i you make understand how
"I was born on April 3, 1950.","i april three , 1950 bear on"
I'll send you a postcard., i you postcard send
Tom ordered a drink., tom drink order
That's all I had to say., that i all have have say
This door leads to the study., this door this study lead to
I'm so proud of you., i so proud of so you
He was very busy all day., he very busy very all day
Tom opened the book and started reading., tom book open start read
Are you jealous?, you jealous
Nobody answered the door., nobody door answer
Several roads are flooded., several road flood
I rushed out of my house., i my my house rush out
Do you think I'm crazy?, you i crazy think
She laughed to cover her fear., she her her fear laugh cover
The proof is trivial., proof trivial
Don't follow me., me follow no
"You aren't ready yet, are you?", you ready you yet no
It gets dark earlier and earlier., it dark earlier and earlier get
I'm a little bit busy., i little bit busy little bit
We've just finished breakfast., we just breakfast finish
This is a quiet street., this quiet quiet street
You lost the game., you game lose
He is bankrupt., he bankrupt
I'm not embarrassed at all., i embarrass all at all no
We can try., we try
Can you watch the kids?, you kid watch
Don't disturb me., me disturb no
I'll give you another minute., i you another minute give
I think I'll come back soon., i i back soon think come back
Don't do that here., that here do no
Why is this so expensive?, this so expensive so why
One is never too old to learn., one too old learn too learn no
You taught us that., you us that teach
Was it good?, it good
It was a perfect moment., it perfect perfect moment
He's waiting for the train to leave., he train wait leave
I was alone in the classroom., i alone classroom
You just screwed up., you just screw up
I appreciate your telling me., i your me appreciate tell
I'm paying a lot of taxes., i lot of tax pay
I came here to study., i here come here study
It's not serious., it serious no
I didn't see you until now., i you see no
Why are you so insecure?, you so insecure so why
"If something is wrong, tell me.", something wrong me tell
I know you're not serious., i you serious know no
I think I can fix this., i i this think fix
You're making a terrible mistake., you terrible terrible mistake make
I often go there to meditate., i often there go there meditate
I'll get you a towel., i you towel get
I didn't sleep much last night., i last much last night sleep much no
Focus on the details., detail focus on
My father will be forty soon., my father forty soon
My sister takes a shower every morning., my sister shower every morning take
They need him., they him need
You can't know that for sure., you sure that know no
She advised him to stop smoking., she him advise stop smoke
Do you want your old job back?, you your old your old job back want
Paris is the capital of France., paris capital of france
I haven't been successful., i successful no
I didn't know Tom had died., i tom know die no
You won't find it in there., you it in there find no
Tom seems to be nervous., tom nervous seem
Was her story true?, her story true
I think you know that's inappropriate., i you that inappropriate think know
I would like chicken soup., i chicken soup like
Could you give me a second?, you me second give
I think I'm right., i i right think
We wanted to get out of there., we want get out
Dogs are loyal animals., dogs loyal loyal animal
I'm sorry I'm late., i sorry i 'm late
She always stood by me., she always me stand by
Don't be alarmed., alarm alarm no
I came back., i back come back
We need to find a new babysitter., we new new babysitter need find
He looks like your brother., he your your brother look like
Do you know who that person is?, you that person that know who
A doctor was sent for at once., doctor send for
"Do you feel it, too?", you it too feel
You can't get rid of it., you rid of it get rid of no
She hit the ball hard., she ball hard hit
He got a new job., he new new job get
You're a funny guy., you funny funny guy
Show me how to do this., me how this show do
I have something I have to do., i i something have have have do
I was here first., i here first
I'm not miserable., i miserable no
I knew Tom was a bit crazy., i tom bit crazy bit know
Grammar is a very complex thing., grammar complex very complex thing
I'd like to speak with Tom., i tom like speak with
I cannot find fault with him., i fault him find no
That's so sweet of you., that so sweet of so you
We became best friends., we best best friend become
We're getting nowhere with those problems., we nowhere those problem get nowhere
Why do you put up with that?, you that put up why
Have you already had breakfast?, you already breakfast have
Cleanliness is next to godliness., cleanliness next to godliness
The radio was invented by Marconi., radio by marconi marconi invent by
Children like playing on the beach., beach play on
They were very kind to me., they very kind to very me
We're people like everybody else., we people like everybody else
I received your message., i your your message receive
I made a bet., i bet make
Don't be so rough on yourself., so rough on so yourself no
He mentioned it., he it mention
He is painting a picture., he picture paint
I need this more than you., i more this more than you need
I don't want to do it anymore., i it anymore want do no
Spouses are also welcome., spouses welcome also
That wouldn't be appropriate., that appropriate no
I want you to teach me French., i you french me french want teach
They were not impressed., they impress no
They didn't want me to examine it., they me it want examine no
Tom is your uncle., tom your your uncle
I can solve this problem., i this problem solve
Do you like dogs?, you dog like
Do you know who they are?, you they know who
I'm growing a beard., i beard grow
The problem is too difficult to solve., problem too difficult solve too solve
Tom likes to fish., tom like fish
I'll take that as a compliment., i that compliment take
Are you on Facebook?, you facebook
Someone sent us a gift., someone us gift send
I think you're nuts., i you nut think
I hope so., i so hope so
I got confused., i confuse get confuse
Why do you want to die?, you want die why
I guess that's good for you., i that good for you guess
Let's hope we did the right thing., 's we right right thing let hope do
I love you the best of all., i best you best of all love
Your answer is right., your answer right
I'm still working on it., i still it work on
I wish I were rich., i i rich wish
I thought you had homework., i you homework think have
I want ice cream., i ice cream want
"You lost, didn't you?", you you lose do no
How much is one beer?, much one beer much one how
Boil some water., some
That's your department., that your your department
I think I can prove it., i i it think prove
You could have been happy., you happy
I'm not afraid of your dog., i afraid of your your dog no
I had to get away from here., i away from have get away
I have no religion., i no religion have
I love to see you smile., i you love see smile
"Properly used, certain poisons will prove beneficial.", certain poison beneficial properly beneficial use prove
Will you join our club?, you our our club join
You're a doll!, you doll
Who hired you?, you hire who
She cooks for him., she him cook for
You don't belong here., you here belong here no
I am surprised to learn this., i surprise learn this learn
I just can't help it., i just it help no
I did what I wanted to do., i i do want do what
I am going down the stairs., i stair go down
I'll never forget the sight., i sight forget no
"May I have the menu, please?", i menu have
The nurse checked Tom's pulse., nurse tom 's tom pulse check
My time is running out., my time run out
The sea level is rising., sea level rise
Tom doesn't drink beer., tom beer drink no
Your French is terrible., your french terrible
There's someone else I want to see., there i someone else want 's want see
You shouldn't have to do that., you that have do no
French isn't complicated., french complicate no
Please don't let this happen again., this again let happen again no
Can I speak with Tom?, i tom speak with
I hear he is looking for work., i he work hear look for
I'm making tea., i tea make
Do you have any money on you?, you any money you have
Someone has stolen our clothes., someone our our clothes steal
Tom fell asleep thinking about Mary., tom asleep asleep think about mary fell
I like you as a friend., i you friend like
This is the one I prefer., this i one prefer prefer
Don't get discouraged., discourage get discourage no
I've already memorized your phone number., i your already your phone number memorize
This dictionary is expensive., this dictionary expensive this
I don't believe anything you say anymore., i you anything say anymore believe say anymore no
I leave this evening., i this even leave
I was working when it happened., i it work happen when
He was disappointed at not being invited., he disappoint at invite no
Tom wasn't amused., tom amuse amuse no
The tree fell down., tree fell down
Put a lid on it!, lid it put
We all sang in unison., we all unison sing in
I didn't order this., i this order no
She cannot have done such a thing., she such thing do no
Is that understood?, that understood
"Tom is in danger, too.", tom danger too
I have apologized., i apologize
He seems to be honest., he honest seem
I forgave you a long time ago., i long you long time ago forgive
Could you help me when I move?, you i me help move when
He agreed to give us an interview., he us interview agree give
We'll have plenty of time., we plenty of time have
This doesn't sound right., this right sound no
The chicken is cooked., chicken cook
Let me ask you a question., me you question let ask
I called you this afternoon., i you this afternoon call
I only need one hundred dollars., i only one hundred dollar need
The French language is rich in synonyms., french language rich in synonym
I wonder if you are truly happy., i you truly happy truly wonder
I didn't know anyone was there., i anyone there know no
You might have told me., you me tell
I'm leaving now., i now leave now
"Well done, Tom.", tom do
Their teacher praised them., their teacher them praise
Every bus is full., every bus full every
I lost my balance., i my my balance lose
I'm proud of you all., i proud of you all
You should distinguish between right and wrong., you wrong right and wrong distinguish between
There's a small price to pay., there small small price pay 's pay
It's still in good condition., it good still good condition
I don't like your friends., i your your friend like no
Pink is not just for girls., pink just girl no
It's a necessary evil., it necessary necessary evil
Can you do a handstand?, you handstand do
"Look, she said.", she look say
I will be more careful., i more careful more
I was a bit tense., i bit tense bit
I watch TV now and then., i tv now and then watch
I'm a member of the sales department., i member of sale department
You've set a bad example., you bad bad example set
I didn't do anything all day., i anything all day do no
What do you eat on Christmas Day?, you christmas day eat on what
The company released a press release., company press release release
You're soaking wet., you wet wet soak
They asked for my help., they my my help ask for
You can easily find the bank., you easily bank find
I can't see anything., i anything see no
I don't see how that's possible., i that possible see how no
That's your opinion., that your your opinion
Tom is the boy on the right., tom boy on right
That feels amazing., that amaze feel
"Well, that's upsetting.", that upset
I was thinking about getting a divorce., i divorce think about get
Our baby isn't speaking yet., our baby yet speak yet no
"Be polite, but firm.", polite firm
He went out the window., he window go out
It's a lot of fun playing outdoors., it lot of fun play outdoors
I can't go with you tonight., i you tonight go with no
I'll go now., i now go now
I lit the match., i match light
We don't make mistakes., we mistake make no
I will always remember you., i always you remember
I really hate dairy products., i really dairy product hate
My cat and dog get along., my cat and dog get along
You don't need to be nervous., you nervous need no
Has the climate changed?, climate change
I'll call you before I leave., i i you call leave
You can't do that here., you that here do no
"Hey, what's this?", this what
He climbs trees easily., he tree easily climb
You'd better tell him the truth., you better him truth tell
She got brushed aside., she aside brushed aside
I don't believe it!, i it believe no
Please tell me what happened., me tell happen what
Don't try to get up yet., yet try get up no
I'd like to check your blood pressure., i your your blood pressure like check
The article was written in French., article french write in
We should make use of atomic energy., we atomic use of atomic energy make
Can I use your dictionary?, i your your dictionary use
May I see your invitation please?, i your your invitation see please
I didn't have time to read., i time read have read no
I hate to eat alone., i alone hate eat alone
I've always loved you., i always you love
Have you eaten lunch yet?, you lunch yet eat
The price is right., price right
I didn't know I should drive., i i know drive no
She struggled to get up., she struggle get up
It's a nice town., it nice nice town
It's a rental., it rental
We went due north., we due due north go
Tom thinks you should talk to Mary., tom you mary think talk to
Do you drink coffee?, you coffee drink
I believed you., i you believe
"When he finished speaking, everyone was silent.", he everyone silent finish speak when
Can't you help us?, you us help no
I corrected it., i it correct
I speak Chinese almost every day., i chinese almost every day speak
I really can't talk about it now., i really it now talk about no
Read the article., article read
We need to move ahead., we ahead need move ahead
I didn't know that she was ill., i she ill know no
What is all this?, all this what
He ate the whole apple., he whole whole apple eat
How could you do this to them?, you this them do how
Aim the video camera at that group., video camera at that group aim
Why didn't you run away?, you away run away why no
Tom started singing., tom start sing
People like to talk to you., people you like talk to
She doesn't always come late., she always late come late no
Did you sleep all day?, you all day sleep
"You are curious, aren't you?", you curious you no
I'm not particularly worried., i particularly worry particularly no
It belongs to me., it me belong to
No one was fired., no one no fire
Let's not forget to do that., 's that let forget do no
You handled that situation quite well., you that situation quite well handle
Tom wants to come to our party., tom our our party want come to
Can I tell you something very personal?, i personal you something very personal tell
I am ashamed about what happened yesterday., i ashamed about yesterday happen what
Baseball is my favorite sport., baseball my favorite my favorite sport
Tom is speaking., tom speak
Who told you Tom was sick?, tom sick you tell who
My dream is to become a teacher., my dream teacher become
I should've gone with Tom., i tom go with
Three of the hostages were beheaded., three of hostage behead
Are you willing to help?, you will help help
There's no way to win., there no way win 's win
It's my job to convince you., it my my job you convince
I shouldn't have stayed up late yesterday., i late yesterday stay up no
Your friends are downstairs., your friend downstairs
Is this all for real?, this real all
I'll pay you., i you pay
Why are you here?, you here why
This is a wonderful achievement., this wonderful wonderful achievement
Tom is a history teacher., tom history teacher
Tom is staying for dinner., tom dinner stay for
I'm so happy to see you again., i so happy see so you again see
I arrived at the station., i station arrive at
Please shut the door behind you., door you shut
That one is all yours., that one that all yours
Is that what you have in mind?, that you mind have in what
I ate a salad for lunch., i salad for lunch eat
Are they new?, they new
I bet you didn't see that coming., i you that bet see come no
Can you explain what PKO stands for?, you pko explain stand for what
Is this Tom's bike?, this tom 's tom bike
You're the last hope for humanity., you last last hope for humanity
I have a few gray hairs already., i few gray few gray hair already have
I'm wide awake., i wide awake wide
I don't like your attitude., i your your attitude like no
I don't compromise., i compromise no
Can't you speak French?, you french speak no
How was the fishing?, fish how
Your life is in danger., your life danger
"Can I get your attention, please?", i your your attention get
There is a map on the wall., there map on wall
I didn't know you had a cat., i you cat know have no
He was in the shower., he shower
We should do that again., we that again do
Why don't we do this later?, we this later do why no
Do you have your laptop with you?, you your your laptop you have
I told Tom I loved him., i i tom him tell love
I wanted us to be happy., i us happy want
He removed his shirt., he his his shirt remove
I thought I saw something., i i something think saw
Did you watch TV yesterday?, you tv yesterday watch
That pair of pliers came in handy., that pair of handy that plier come in
I think you owe me an explanation., i you me explanation think owe
I love that chair., i that chair love
Ask if he wants another drink., he another drink ask want
The apricot trees are in full blossom., apricot tree full full blossom
You must have made a mistake., you mistake make
I want more days like this., i more more day like this want
I used to love swimming., i swim use love
A light rain was falling., light rain fall
What's your wish?, your wish what
You can't go out., you go out no
I have lots of friends., i lot of friend have
We can handle that., we that handle
They drove the adults crazy., they crazy adult crazy drive
I remember giving Tom some money., i tom some money remember give
I haven't eaten anything since yesterday morning., i anything yesterday morning eat no
I can't believe I'm agreeing to this., i i this believe agree to no
It's a pleasure to see you again., it pleasure you again see
Can you hear me?, you me hear
Please turn off the TV., tv turn off
Tom needs to do something., tom something need do
Didn't you read the prospectus?, you prospectus read no
Tom helped us a lot., tom us lot help
Students have access to the library., students access to library have
She can't write or read., she write read no
Do you trust me?, you me trust
Do you study English?, you english study
Did you bring an umbrella with you?, you umbrella you bring
We still have a few left., we few still few left have
She was kind to me., she kind to me
Tell me where you went., you me where tell go
Don't push it., it push no
Tom felt safe., tom safe felt
She will make a good wife., she good good wife make
They'll take care of you., they care you take
One of the answers is correct., one of correct answer
These logs are heavy., these log heavy these
I need information., i information need
I predicted it., i it predict
I'm breaking up with my girlfriend tonight., i my my girlfriend tonight break up
He skipped a grade., he grade skip
Help me learn French., me french help learn
I wish Tom was here., i tom here wish
I want to live here., i here want live here
There's still so much left to do., there much still so much left 's still left do
"At the next intersection, take a right.", next next intersection right take
I'll miss you., i you miss
I'm happy enough., i happy enough enough
Cats usually hate dogs., cats usually dog hate
He may have been ill., he ill
Strive to be happy., happy strive
We should do this more often., we this more often do
I often call on him., i often him call on
What are your pet peeves?, your pet peeve what
Are you a wizard?, you wizard
Stay out of my way., my my way stay out
Tom will be here tonight., tom here tonight
I can't pay the rent., i rent pay no
They formed a swim team., they swim team form
I saw you yesterday., i you yesterday saw
That's not how I see it., that i it see how no
Do you want a massage?, you massage want
"You'll protect me, won't you?", you you me protect no
Do you understand the risks?, you risk understand
Things are not what they seem., things they seem what no
Why are you so mad?, you so mad so why
Your boots are ruined., your boot ruin
Don't raise my hopes like that., my my hope like that raise no
Did you finish your paper?, you your your paper finish
Grief drove her mad., grief her mad her mad drive
Don't make me hurt you., me you make hurt no
Tom could stop this., tom this stop
Don't be ridiculous!, ridiculous no
Can you help us?, you us help
Our marriage is over., our marriage over
I accept your terms., i your your term accept
What are you frightened of?, you frighten of what
We're not supposed to do that., we that suppose do no
I'm not sure I want that., i sure i want that want no
I'm against the war., i war
Did you hug anybody?, you anybody hug
Look out for pickpockets., pickpocket look out
When does the movie start?, movie start when
Sorry about that., sorry that
I wasn't sure what to do., i sure do do what no
We saw a stranger walking outside., we stranger walk outside saw walk outside
A girl phoned me., girl me phone
I've always played with my brother., i my always my brother play with
I want to take you to dinner., i you dinner want take
We often eat fish raw., we raw often fish raw eat
She's better at it than I am., she good at i it
This gate allows access to the garden., this gate this access to garden allow
I'll be right there., i right there
She gave him a lot of money., she him lot of money give
That dress looks stunning on you., that dress stun on that you look
The rich are not always happy., rich happy always no
When did I do that?, i that do when
I didn't know about his plan., i his his plan know about no
What's the purpose of your trip?, purpose of your your trip what
Are you still sick?, you sick still
Tom never apologized., tom apologize no
She gave me access to her records., she her me access to her record give
You have to leave everything., you everything have leave
May I use the bathroom?, i bathroom use
Could you make room for me?, you room for me make
Don't despise others because they are poor., they poor others despise no
I'm not at all interested., i all interested at all no
We don't trust the government., we government trust no
Why don't you answer your dad?, you your your dad answer why no
I guess so., i so guess so
Are you seriously thinking about going?, you seriously think about go
It's a real challenge., it real real challenge
I don't want to visit Tom., i tom want visit no
I made him carry the suitcase., i him suitcase make carry
The food tasted slightly of garlic., food slightly of garlic taste slightly
I don't do drugs., i drug do no
I am seeing Mary this afternoon., i mary this afternoon see
Let's continue the game after lunch., 's game lunch let continue
We'll never get through this., we this get through no
Tom often visits his aunt., tom his often his aunt visit
I love French coffee., i french french coffee love
I wonder how that works., i that wonder work how
She went on working., she go on work
Tom hid behind the shower curtain., tom shower curtain hid behind
His novel is beyond my comprehension., his novel my my comprehension
We want to have a large family., we large large family want have
This is a miracle., this miracle
I don't know what's happening., i know happen what no
We're both on the same side., we same same side
Don't you want to help?, you want help no
Does that mean you agree?, that you mean agree
He dressed like a girl., he girl dress like
Stop being so naive., so naive so stop
I want to know what love is., i love want know what
I don't know why they do it., i they it know do why no
Someone tried to kill me., someone me try kill
Am I right?, i right
She seems to have been ill., she ill seem
We communicated in French., we french communicate in
Tom is in college now., tom college now
This book is geared towards beginners., this book this beginner gear towards
There's no shortage of work around here., there no shortage of work around 's
What's the alternative?, alternative what
How do you know all this?, you all this know how
The moon has come out., moon come out
A dog can see in the dark., dog dark see in
Tom wears silk ties., tom silk tie wear
The man robbed her bag., man her her bag rob
I'm sorry that I couldn't help you., i sorry i help you help no
You're not very good., you very good very no
Quit wasting my time., quit my my time waste
I hear the phone., i phone hear
What should we do about this problem?, we this problem do about what
This is unfortunate., this unfortunate
I'm your biggest fan., i your big your big fan
He tends to tell lies., he lie tend tell
He should have worked harder., he hard work hard
I admire your talent., i your your talent admire
I'm going to join a demonstration., i demonstration go join
Let's go outside and play., 's outside let go outside play
Could you charge it to my room?, you my it my room charge
I jog twice a week., i twice week jog
That play was an immense success., that play immense that immense success
She went to see him reluctantly., she him reluctantly go see
I'm not one of your soldiers., i your one of your soldier no
Do you think I don't care?, you i think care no
I arrived safe and sound this morning., i safe this morning arrive sound
I am an English teacher., i english english teacher
The knife is not sharp., knife sharp no
It was a computer error., it computer error
My mother can't ride a bicycle., my mother bicycle ride no
Is Tom related to Mary?, tom mary relate to
Don't make me wait long., me long make wait long no
It hurts here., it here hurt here
I require your advice., i your your advice require
Tom kept Mary waiting for an hour., tom mary hour keep wait for
Are we leaving soon?, we soon leave soon
"This time, it's different.", it different this time
That dog has a short tail., that dog short that short tail have
Let's take the bus., 's bus let take
My sister is constantly reading comic books., my sister comic constantly comic book read
Here's the change., change here
"For me, it's important.", it important me
Do those insects sting?, those insect sting do sting
I just didn't know what to say., i just know say what no
All my friends are getting married., all my friend married
What does this stand for?, this stand for what
Did you make this?, you this make
Tom hasn't called., tom call no
We've only got three more days., we more only three more day get
What hotel will you be staying at?, you what hotel stay at
Tom needed to go home early., tom home early need go home
I didn't expect you so soon., i you so soon expect no
I'm breast-feeding my baby., i my breast my baby feeding
I don't care what people think., i people care think what no
Can I stay here tonight?, i here tonight stay here
Tom was very proud of you., tom very proud of very you
He is acting on his own behalf., he his own his own behalf act on
Were there any survivors?, there any survivor
You'll never be alone., you alone no
I can read., i read
Everybody should help each other., everybody other each other help
How fast can you do it?, you fast it do how
We are traveling on a tight budget., we tight tight budget travel on
Spring is just around the corner., spring just corner
Business is quite slow., business quite slow quite
It's really awesome., it really awesome really
How long will you stay here?, you long here stay here how
He's so cute., he so cute so
Mother has not cooked dinner yet., mother dinner yet cook no
Tom already knows how to read., tom already know read how
"If you need any help, ask me.", you any help me need ask
He'll never forgive me., he me forgive no
I don't know much about your family., i much your much about your family know no
I like dogs very much., i dog very much like
I'm so happy to meet you., i so happy meet so you meet
You two are really kind., you two kind really
Does your wife know?, your wife know
I went there out of curiosity., i there curiosity go there
I will visit you tomorrow without fail., i you tomorrow fail visit
How's your old lady doing?, your old lady do do how
I think she made up that story., i she that story think make up
I want this building locked., i this build this want lock
You have nothing to be afraid of., you afraid of nothing be have
Tell me which one to choose., me which one tell choose
He seems to be very sleepy., he very sleepy very seem
I could read between the lines., i line read between
We should get along just fine., we fine just fine get along
"When I'm with you, I'm happy.", i i happy you when
My cat got stuck up a tree., my cat tree stick up
I must go., i go
Tom drew a picture of a dog., tom picture of dog draw
It all changed., it all change
Thank you for stopping by., you by thank stop by
It took all day., it all day take
Was anybody else there?, anybody else else there
Tom didn't do anything else., tom anything else do no
She expressed her thanks for the present., she her her thanks for present express
I don't care what you do., i you care do what no
What did you say?, you say what
Corruption was a problem., corruption problem
Tom didn't seem to be very nervous., tom very nervous very seem no
Don't tell me to calm down., me tell calm down no
Any time will suit me., any time any me suit
I don't need anybody's permission., i anybody 's anybody permission need no
I thought you didn't like romance movies., i you romance movie think like no
How can I get to the station?, i station get to how
Do you speak French?, you french speak
It's too narrow., it too narrow too
That should make you happy., that you happy make
I have been to the U.S. twice., i u.s. twice
I didn't buy them., i them buy no
You shouldn't leave the baby alone., you baby alone leave no
They attacked the enemy., they enemy attack
Can I have some tea?, i some tea have
I did you a favor., i you favor do
I don't want to go to sleep., i sleep want go to no
Let's end this., 's this let end
I want to watch you dance., i you want watch
Eat up all your spinach!, your all your spinach eat up
You have a lot of nerve!, you lot of nerve have
The committee consists of four members., committee four member consist of
This system worked well until the 1840s.,this system this well 1840s work well
What did Tom order?, what
My TV has quit working., my tv quit work
There's no going back., there no go back 's go back
Don't put the cart before the horse., cart horse put no
You're not allowed to park here., you here allow park here no
I think we've got a problem., i we problem think get
He is a painter., he painter
I'm a little short this week., i little short little this week
I'll be checking on you., i you check on
I ran upstairs., i upstairs run upstairs
I know you have a girlfriend., i you girlfriend know have
You shouldn't use somebody else's toothbrush., you somebody else 's toothbrush use no
This is such a dumb idea., this dumb such dumb idea
I just got the news., i just news get
My printer is low on ink., my printer low on ink
Something is wrong with the engine., something wrong with engine
I object to her going there alone., i her there alone object to go there
Why didn't you just leave?, you just leave why no
I think I've had one too many., i i many one too many think have
Was there anybody else in the bar?, there anybody else in bar
She strongly resembles her grandmother., she her strongly her grandmother resemble
Don't blame the messenger., messenger blame no
I know you've been busy., i you busy know
He drives me crazy., he crazy me crazy drive
She says that she likes flowers., she she flower say like
I felt guilty., i guilty felt
Have you finished your homework?, you your your homework finish
Anybody knows it., anybody it know
George Washington was born in 1732.,george behington 1732 bear in
I know what you're probably thinking., i you probably know think what
Take whichever you like., you whichever take like
Never give up on your dreams., your your dream give up
Get in the boat., boat get in
There's a dog by the door., there dog by door 's
The child is sleeping on his stomach., child his his stomach sleep on
She can't do that., she that do no
The joke's on us., joke us
What good would come of it?, what good what it come of
I did that the way you suggested., i you that way suggest do suggest
I'd love to go out with you., i you love go out
You're smarter than me., you smart than me
No one is in the bathroom., no one no bathroom
You're not going fast enough., you fast enough go fast no
He taught a group of Indian boys., he indian group of indian boy teach
I never talked to him again., i him again talk to no
I had a sandwich for lunch., i sandwich for lunch have
I hate surprises., i surprise hate
We're all crazy., we crazy all
Tom is as tall as his father., tom as tall as his as his father
I know it's not true., i it true know no
I want to know the reason., i reason want know
What time do you go to school?, you what time school go to
His death surprised us all., his death us all surprise
Why do you want a dog?, you dog want why
What did his wife say?, his wife say what
