English,ISL-Gloss
You must show respect to your guests., you your respect your guest show
Are those explosives?, those explosive those
I'd like to own a business., i business like own
You don't understand the procedure., you procedure understand no
I can't walk any more., i more any more walk no
Did you find your purse?, you your your purse find
I've been looking for it all morning., i it all morning look for
I already have plans for this weekend., i already plan for this weekend have
Where's the toothpaste?, toothpaste where
She is sharp., she sharp
Can I come in now?, i now come in
I've already tried doing that three times., i already that three time try do
Tom passed most of the time fishing., tom most most of time fish pass
You can't have both of those., you both of those have no
They never showed up., they show up no
I'm just being me., i just me
You don't have to tell me this., you me this have tell no
We're not being sued., we sue no
Rumors of defeat were circulating., rumors of defeat circulate
The car raised a cloud of dust., car cloud of dust raise
He likes French more than German., he german french more than german like
May I sit with you?, i you sit with
Don't blame the victim., victim blame no
Is the Orient too foreign for you?, orient too foreign for too you
Tom stayed in Boston for three days., tom boston three day stay in
You're just a coward., you just coward
Tom spent time with Mary., tom time mary spend
How old is that church?, old that church that how
I'm just glad everything worked out., i just glad everything work just work out
There's another way out., there another way out 's
I'm ashamed that I did that., i ashamed i do that do
I will survive., i survive
That made me think of you., that me you make think of
Tom knew that he'd been tricked., tom he know trick
Tom wrote a very detailed report., tom detailed very detailed report write
You may get it free of charge., you it free charge get
It is man's destiny to suffer., it man 's man destiny suffer
That is a good idea., that good good idea
The baby was shaking the rattle., baby rattle shake
I never told anyone., i anyone tell no
Don't get too cocky., too cocky too get too no
She hardly talks at all., she hardly at all talk at
Did you really warn Tom?, you really tom warn
What a great view!, great what
We were driven to the wall., we wall drive to
Why give it to me now?, it to me now give why
She became a postman., she postman become
One of you is lying., one of you lie
You must be very busy these days., you very busy very these day
You can depend on his help., you his his help depend on
Give me that samosa., me that samosa give
I wonder who started that rumor., i that rumor wonder start who
I need a more detailed map., i detailed more detailed map need
Do you need help with that?, you help that need
I'm not running away., i away run away no
Where's the bag?, bag where
I can't do this anymore., i this anymore do no
He is sure of success., he sure of success
The engine's starting to overheat., engine 's start overheat
It's not safe., it safe no
Maybe I shouldn't have kissed you., i maybe you kiss no
I didn't kill anyone., i anyone kill no
This tape isn't sticky., this tape sticky this no
Tom doesn't deserve this., tom this deserve no
I want to talk with your uncle., i your your uncle want talk with
Mary requested a raise from her boss., mary her raise from her bos request
Do you talk to your plants?, you your your plant talk to
You're really selfish., you really selfish really
Maybe you did that wrong., you wrong maybe that wrong do
What languages do they speak in Belgium?, they what languages belgium speak in
He was educated by his grandfather., he by his grandfather his grandfather educate by
Will you be here tomorrow?, you here tomorrow
Do you want a cold beer?, you cold cold beer want
Disconnect the plug., plug disconnect
Hurry up! I don't have all day., i all day hurry up have no
What were you two doing there anyway?, you two there anyway do there what
I have a car., i car have
He's about to leave., he about leave leave
Tom should've told me earlier., tom me early tell
Are you the new teacher?, you new new teacher
How did you get to know her?, you her get know how
My employees are waiting for me., my employee me wait for
Keep your hands off my bike!, your my your hand my bike keep
I kept an eye on Tom., i eye tom keep
I just moved in yesterday., i just yesterday move in
He really likes traveling a lot., he really lot like travel
I don't even want you there., i even you there want no
Be polite to everyone., polite everyone
Telegraph us when you get to Boston., you boston get to when
Is the cat all right?, cat all right all
One crate is still missing., one crate one still miss
I haven't written anything., i anything write no
I never should've come here., i here come here no
Do you want another piece of pie?, you another piece of pie want
"You were bluffing, weren't you?", you you bluff no
That's fantastic news., that fantastic fantastic news
What am I to do now?, i now do now what
The sign indicates the way to go., sign way go indicate go
The dictionary on the desk is mine., dictionary on desk mine
He studied economics at college., he economics college study
This is simple., this simple
Tom wanted to make more money., tom more more money want make
I want to see the ocean., i ocean want see
What are you doing here?, you here do here what
It is never too late to learn., it too late learn too learn no
Do you have any idea what happened?, you any idea happen have happen what
I said nothing., i nothing say
"I've studied French, remember?", i french study remember
People learn from experience., people experience learn from
Tom eventually confessed., tom eventually confess
Do you hurt anywhere?, you anywhere hurt anywhere
The Prime Minister has resigned., prime minister resign
You're so mean., you so mean so
You have only to touch the button., you only button have only touch
They sat up all night., they all night sit up
I found my shoes., i my my shoe find
Have you been listening to me?, you me listen to
You should've listened to me., you me listen to
I'll be back tonight., i back tonight
I was tempted to call in sick., i sick sick tempt call in
I'm just a taxi driver., i just taxi driver
I hate terrorist organizations., i terrorist terrorist organization hate
Okinawa is the southernmost island in Japan., okinawa southernmost southernmost island in japan
Do you want to see my room?, you my my room want see
Tom used to be a heavy smoker., tom heavy heavy smoker use
Take out the trash., trash take out
I have something to give you., i something give you have give
He came after you left., he you come leave
There's something we have to do., there we something have 's have do
He can't sing well., he well sing well no
When will we leave?, we leave when
He drew a deep breath., he deep deep breath draw
What color is your house?, your what color your house
Go take a walk., walk go take
The exhibition was very impressive., exhibition very impressive very
You run very fast., you very fast run very
My sister is engaged in social work., my sister social social work engage in
She attempted to persuade her father., she her her father attempt persuade
He spent the evening reading a book., he even book spend read
She accompanied him to Japan., she him japan accompany
You are very attractive in blue., you very attractive blue very blue
I didn't write anything., i anything write no
It's a public safety concern., it public safety concern
What time does your class end?, your class end what time do
How many more of you are there?, many more many more of you there how
I must learn French., i french learn
She found her baby still asleep., she her asleep her baby still find
We believe in the existence of God., we existence of god believe in
It was a great blow to us., it great great blow us
Tom solved the problem., tom problem solve
Out of my way!, my my way
What do you think you're doing?, you you think do what
They've changed the rules., they rule change
That'll never fly., that fly no
We like children., we child like
I'm very fortunate., i very fortunate very
They were talking about you., they you talk about
What's in those boxes?, those box what
"You can read French, can't you?", you you french read no
"Compared to Tokyo, London is small.", london small tokyo compared to
He's here to spy on us., he here us spy on
He's hiding in the closet., he closet hide in
Tom knew where to go., tom know go where
I don't have one., i one have no
Speaking English is useful., speaking english useful english speaking
You're too suspicious about everything., you too suspicious about too everything
Tom is full of ambition., tom full of ambition
I can't afford to play tennis., i tennis afford play no
You're the expert., you expert
Stay in bed., bed stay in
Selling cars is my job., selling car my car my job selling
I'm gaining weight., i weight gain
Take this medicine every six hours., this medicine every six hour take
It tastes like chicken., it chicken taste like
You must find work., you work find
His illness may be cancer., his illness cancer
I knew you'd come back for me., i you back me know come back
You're too old., you too old too
I'll make you happy., i you happy make
I'm from the East Coast., i east coast
Tom should've told us about this., tom us this tell
Can you translate that into French?, you that french translate
Are you happy with that?, you happy with that
The water began to boil., water begin boil
Let's get in the truck., 's truck let get in
Those pajamas are too big for you., those pajama too big for those too you
That's for me to decide., that me decide
Maybe Tom likes you., tom maybe you like
Thanks a million., million
Here is your appointment card., your appointment card here
He is respected by them., he by them them respect by
It has been fine for a week., it fine week
I had a good time last night., i good last good time last night have
Do you believe in ghosts?, you ghost believe in
I made you a surprise., i you make
You have been forewarned., you forewarn
Tom sipped some tea., tom some tea sip
The sky brightened., sky brighten
Please don't be afraid of me., afraid of me no
He lacks judgement., he judgement lack
How is life treating you?, life you treat how
He had no difficulty explaining the mystery., he no difficulty explain mystery have explain
Is your dog mean?, your dog mean
It's nice to be appreciated., it nice appreciate
Let me give you a hug., me you hug let give
Nobody cares for me., nobody me care for
I know Tom is a librarian., i tom librarian know
You're lucky Tom lent you some money., you lucky tom you some money lent
Do you play the trombone?, you trombone play
The prisoners tried to escape., prisoner try escape
I know that Tom is optimistic., i tom optimistic know
Do you know my husband?, you my my husband know
I thought we were welcome here., i we welcome here think
Take a little nap on the sofa., little little nap sofa take
I don't have any issue with that., i any issue with that have no
Everything depends on money., everything money depends on
She did so out of curiosity., she so curiosity do so
He is a sharp-shooter., he sharp sharp - shooter
Come to my house this afternoon., my my house this afternoon come to
"Tom is busy, isn't he?", tom busy he no
"If you hurt her, I'll kill you.", you i her you hurt kill
"Of course, he is right.", he right of course
Tom doesn't understand the rules., tom rule understand no
I can help Tom., i tom help
She is brushing her hair., she her her hair brush
Are you settling in?, you settle in
I don't like either of the pictures., i either of picture like no
I chose the colors., i color choose
Do you deliver on Sundays?, you sundays deliver on
Are you sure of it?, you sure of it
What newspaper do you subscribe to?, you what newspaper subscribe to
I finally got a driver's license., i driver 's finally driver license get
"I'm sorry, could you say that again?", i sorry you that again say
Money does not always bring happiness., money always happiness bring no
This is the only alternative., this only only alternative
He made a small dog house., he small small dog house make
I'm not nervous., i nervous no
I need your full attention now., i your full your full attention now need
She couldn't hold back her laughter., she her her laughter hold back no
It was a bad idea., it bad bad idea
I have a weird neighbor., i weird weird neighbor have
I think I'd better call Tom., i i better tom think call
I learn a lot from my father., i my lot my father learn
You can't erase the past., you past erase no
I do want to go with you., i you want go with
That sounds interesting., that interest sound
Why can't animals talk?, talk why no
I'm a social worker., i social social worker
Is this jasmine tea?, this jasmine tea this
She looks prettier in her red dress., she prettier in her red her red dress look
Tom didn't want to sing., tom want sing no
Was Tom telling the truth?, tom truth tell
I'm glad you liked it., i glad you like it like
I'll call if I learn anything., i i anything call learn
He is a highly paid man., he highly pay man pay
This coat fits me well., this coat this me well fit
"You're still single, aren't you?", you single you still no
Can I help you in any way?, i you any way help
Who did this?, this do who
Winds from the sea are humid., winds from humid sea
The keys are on the table., key table
Where did you spend your holidays?, you your your holiday spend where
Thanks in advance., advance
I can't drive myself home., i myself home drive no
Let Tom make the decisions., tom decision let make
Tom gave his dog a hug., tom his his dog hug give
He earns twenty dollars a day., he twenty dollar day earn
Flattery will get you nowhere., flattery you nowhere get
She barely ate her lunch., she her barely her lunch eat
I seldom eat dairy products., i seldom dairy product eat
I like lobster., i lobster like
He was stoned., he stone
Let's get rid of all this stuff., 's all this stuff let rid of
It's all over now., it all over now
They all made mistakes., they all mistake make
They go to church every Sunday., they church every sunday go to
Shut all the doors and windows., all door and window shut
Tom's bag was very light., tom 's bag very light very
I was not sure what to do., i sure do do what no
There was no one left but me., there no one leave but me be leave
Tom scares everybody., tom everybody scar
I'll visit you at your office tomorrow., i your you your office tomorrow visit
"Hey, what are you talking about?", you talk about what
There's nobody home., there nobody home 's
I've done a really stupid thing., i stupid really stupid thing do
You look as healthy as ever., you as healthy as as look as
Can you remember anything?, you anything remember
Disneyland was built in 1955.,disneyland 1955 build in
This house has eleven rooms., this house this eleven room have
Do you like sports?, you sport like
Is that for sale?, that sale
He warned me of the danger., he me danger warn
Are you saying that I'm a liar?, you i liar say
We know so little about Tom., we little so little about tom know so
This is my final offer., this my final my final offer
I just feel so helpless., i so helpless just so feel so
Both are alive., both alive
I haven't seen you for ages., i you age see no
There's somebody I want you to meet., there i you somebody want 's want meet
A small gear is missing here., small gear here miss here
Can I see you in my office?, i my you my office see
Where did you get that?, you that get where
You look terrific., you terrific look
He will never visit the town again., he town again visit no
Tom gave me a lot of money., tom me lot of money give
Recycling reduces pollution and waste., recycling pollution and waste reduces
"To my surprise, she was alive.", my she alive my surprise
I thought you'd be alone., i you alone think
How long will this go on?, this long go on how
I'm not very good at swimming., i very good at very swim no
Was there an earthquake?, there earthquake
I couldn't help Tom., i tom help no
I feel lucky to have been chosen., i lucky choose feel choose
I know that name., i that name know
I'll never forgive you., i you forgive no
I can't confirm that., i that confirm no
"Does he like music? ""Yes, he does.""", he he music like do
That's so immature., that so immature so
I wrote my name on the paper., i my my name paper write
What time does the first train leave?, first train what time leave
I brought mine., i mine bring
Tom won't go alone., tom alone go alone no
The toilet is over there., toilet over there
Take good care of yourself., good good care of yourself take
What have they done to you?, they you do to what
I'm looking for a room for rent., i room for rent look for
Tom can sleep in my room., tom my my room sleep in
Not all criminals should go to jail., all criminal not all jail go to
That's not what I understand., that i understand what no
How do we open this door?, we this door open how
I'm so glad I did this., i so glad i do so this do
The sun is a star., sun star
You were fantastic., you fantastic
The game's almost over., game 's almost
Is anybody home?, anybody home
Is there something wrong with your car?, there wrong your something wrong your car
You're always around., you always around
Why didn't you wake me up?, you me wake why no
It's your turn to speak., it your your turn speak
It will soon be breakfast time., it soon breakfast time
You're going to be a father., you father go
Doing that isn't a good idea., doing that good that good idea doing no
It's too big., it too big too
What does USB stand for?, usb stand for what
Don't make me shoot you again., me you again make shoot no
Hurry or you'll miss the train., you train hurry miss
He remained steadfast to his principles., he steadfast to his his principle remain
I lied to protect you., i you lie protect
Can you think of anything else?, you anything else think of
Don't talk nonsense., nonsense talk no
He's a slowpoke., he slowpoke
Is all of this money yours?, all of this money yours
"Do you like me, too?", you me too like
They probably don't know., they probably know no
They were dead., they dead
I have a lot of responsibilities., i lot of responsibility have
This is all for you., this all you
I came for you., i for you come for
The guitar player is my brother., guitar player my my brother
The letter will arrive tomorrow., letter tomorrow arrive
"Well, how did it happen anyway?", it anyway happen anyway how
That university was my first choice., that university my first that my first choice
I bought that record in this store., i that record this store buy
I don't remember that guy's name., i that guy 's that guy name remember no
He received a registered letter., he registered letter receive registered
I stared at the man., i man star at
Your privacy is important to us., your privacy important to us
It has been raining off and on., it off and on rain off
"Hello, how are you?", you how
I'm sure Tom had his reasons., i sure tom have his his reason have
The new supermarket was opened last month., new supermarket last last month open
Did that have any special significance?, that special any special significance have
Tom asked Mary for something to drink., tom mary something drink ask drink
I hear he is good at mahjong., i he good at mahjong hear
I really wish you hadn't seen that., i you really that wish see no
Tom doesn't have very many close friends., tom many close very many close friend have very no
Tom was in my French class., tom my french my french class
No one was in the swimming pool., no one no swim pool
Let's rent bicycles over there., 's bicycle over there let rent
Tom isn't ashamed of what he did., tom ashamed of he what no
This should be clear to everyone., this clear to everyone
You are not supposed to smoke here., you here suppose smoke here no
I can't do two things at once., i two thing do no
Have you tried this before?, you this before try
Promise me that you'll do that., you me that promise do
Tell me everything you know about that., you me everything know that tell know about
I have no comment yet., i no comment yet have
My father is in his fifties., my father his his fifty
He plugged in the radio., he radio plug in
She will have a baby next month., she next baby next month have
Do you have a Twitter account?, you twitter account have
Cats have nine lives., cats nine life have
Here is the bill., bill here
None of us have succeeded., none of us succeed
This fish is good., this fish good this
She made him a new suit., she him new make
She is learning the piano., she piano learn
We are his children., we his his child
It's very likely that he'll be late., it very likely he be late very
Would you open the door?, you door open
He's here for me., he here me
Thank you for your letter., your you your letter thank
I can't believe I said that., i i that believe say no
Maybe it was just a nightmare., it maybe just nightmare
He beckoned me to follow him., he me him beckon follow
It's not all bad., it bad all no
I want us to do it together., i us it together want do
Tom knows the man Mary came with., tom mary man come know come with
I've got no complaints., i no complaint get
Don't make such careless mistakes., such careless such careless mistake make no
I hope you learned your lesson., i you your your lesson hope learn
He is the president in name only., he president in name only
Please read after me., me read after
I don't want people to hate me., i people me want hate no
Employers sometimes exploit their workers., employers their sometimes their worker exploit
Mary hid the money in her bra., mary her money her bra hide
You can't hold me responsible., you me responsible hold no
You're not sleeping enough., you enough sleep enough no
I got rid of it., i it rid of
How did you vote on that matter?, you that matter vote on how
Tom poisoned Mary's dog., tom mary 's mary dog poison
Keep your gun handy., your handy your gun handy keep
You should have your eyes examined., you your eye have examine
I wish to speak to Tom., i tom wish speak to
I'll cut your head off!, i your your head cut
Keep me in the loop., me loop keep
I don't like people looking at me., i people look me like look at no
Where did you buy these cherries?, you these cherry buy where
I forgot about that., i that forget about
I'm not a drunk., i drunk no
I wish I knew what to say., i i wish know say what
Please don't hurt me., me hurt no
Our family has lived here for generations., our family here generation live here
I'm not sure this is necessary., i sure this necessary no
She gave us some useful information., she useful us some useful information give
I feel like I'm ready for that., i i ready for that feel
Do you know who she is?, you she know who
She cried as she read the letter., she she letter cry read
I also wanted to know., i also want know
He moved close to her., he close to her move close
I hid behind the tree., i tree hide behind
Isn't it infuriating?, it infuriate no
Is that the new guy?, that new new guy
I have a loving family., i love family have love
"I'm a very, very happy man.", i happy very very happy man
You'd better relax a bit., you better bit relax
A beautiful girl sat next to me., beautiful girl next to me sit next
Leave my family alone., my my family alone leave
Please go right away., right away go right
I look after my grandfather., i my my grandfather look after
He pretended not to hear his boss., he his his bos pretend hear no
Have a look., look have
I have a migraine., i migraine have
"What day is today? ""It's Monday.""", it what day today monday
We could go there now., we there now go there
Everything changes after a war., everything war change after
I'd like to breast-feed my baby., i my my baby like feed
No casualties were reported., no casualty no report
May I open a can?, i can open
How's your new job?, your new job how
Send the bill to my house., my bill my house send
I'm not afraid at all., i afraid all at all no
There's no need for an apology., there no need for apology 's
You know what they say., you they know say what
How many of us were there?, many many of us there how
I told him about our school., i our him our school tell
Everyone was fighting., everyone fight
I miss you very much., i you very much miss
I read that report before lunch., i that report lunch read
I was fired last week., i last last week fire
I will get in touch with you., i touch you get in
I'll peel an orange for you., i orange for you peel
I need to travel., i need travel
"Mary is beautiful, isn't she?", mary beautiful she no
He wants to meet you., he you want meet
People like him because of his friendliness., people his him his friendliness
There's a cab waiting outside., there cab wait outside 's wait outside
It looks like your dog is thirsty., it your dog thirsty look
He went to school to study yesterday., he school yesterday go to study
Tom seemed to know the secret., tom secret seem know
This medicine will do you good., this medicine good this you do
This isn't an easy task., this easy easy task no
I want you to be my coach., i you my my coach want
I'm auditioning for the part., i part audition for
How did you become a cop?, you cop become how
He won the prize last week., he last prize last week win
The crow spread his wings., crow his his wing spread
You dropped your pencil., you your your pencil drop
He puts on airs., he air put on
Do you believe him?, you him believe
I was told to go home., i home tell go home
I like neither apples nor grapes., i neither apple nor grape like
Enjoy your stay., your your stay enjoy
He needs money., he money need
We have a big day tomorrow., we big big day tomorrow have
We were ordered to do that., we that order do
Were you hurt?, you hurt
It won't cost you a thing., it you thing cost no
Have you asked if they want one?, you they one ask want
I didn't mean to challenge your authority., i your your authority mean challenge no
Could you get it for me now?, you it for me now get
"This is mine, isn't it?", this it mine no
I'd rather not discuss that., i rather that discuss no
Shepherd tried to run and was shot., shepherd try run shoot
"Do you know where you are, Tom?", you you tom know where
"At last, my wish has come true.", last my wish true come
The room was full of smoke., room full of smoke
Tom is falling asleep., tom asleep fall
This hat is too big for you., this hat too big for this too you
I will have to study tomorrow., i tomorrow have study
I think you're lying., i you think lie
DNA tests showed he was innocent., dna test he innocent show
What are we going to do next?, we next go do next what
I left in the morning., i morning leave in
I found the book by accident., i book accident find
I'm just lazy., i just lazy just
Give Tom some water., tom some water give
Where do we go now?, we now go now where
You're going to love this book., you this book go love
Have you ever dyed your hair?, you your ever your hair dye
They armed themselves with rifles., they themselves rifle arm
I'm afraid it's not that simple., i afraid it 's simple that simple no
I'm a big football fan., i big big football fan
Who is that boy running toward us?, that boy that us run toward who
I like neither of the pictures., i neither of picture like
He found my bike., he my my bike find
Don't they drive you mad?, they mad you mad drive no
That's so sad., that so sad so
It's not right., it right no
I'm not a great photographer., i great great photographer no
I'll tell my wife., i my my wife tell
Tom can speak French fluently., tom french fluently speak
Let me give you a hint., me you hint let give
May I pay with a credit card?, i credit card pay with
Don't believe anything they say., they anything say believe say no
It suddenly started raining., it suddenly start rain
They entered into a heated discussion., they heat heat discussion enter into
I learned that a long time ago., i long that long time ago learn
I don't know which button to push., i which button know push no
He made sure nobody could see him., he sure nobody him make see
I must hide., i hide
Would you mind opening the window?, you window mind open
Tom and Mary aren't home yet., tom and mary home yet no
Her dream has come true at last., her dream true last last come
He is a good speaker., he good good speaker
We're halfway home., we halfway home
I've been told that., i that tell
I caught a fish!, i fish catch
She dyed her hair blonde., she her blonde her hair blonde dye
That probably didn't happen., that probably happen no
Can you afford it?, you it afford
That was very reassuring., that very reassure very
I want those back when you're done., i those you want do when
That's a secret. I can't tell you., that i secret you tell no
He is thick-headed., he thick - headed thick headed
Could you please translate this for me?, you this for me translate
I'm glad to see you here., i glad see you here see
Where did you grow up?, you grow up where
Let me die., me let die
Where did you get it?, you it get where
I'm double-parked. Could you hurry it up?, i double - parked you double it parked hurry
Have you told your mom?, you your your mom tell
I remember both of you., i both of you remember
She wants him to be her friend., she him her her friend want
Is everyone recovering?, everyone recover
There's no one like you., there no one like you 's
There are many rats on the ship., there many many rat on ship
Have you done this before?, you this before do
I understand why Tom is angry., i tom angry understand why
Have you ever lived in Boston?, you ever boston live in
Did you accept his invitation?, you his his invitation accept
I understood what you meant., i you understand mean what
I knew that that wasn't true., i that true know no
Where do you have pain?, you pain have where
Even children know that., even child even that know
I like light colors., i light light color like
Go and talk to Tom., tom go talk to
That's the book I bought yesterday., that i book buy yesterday buy
He stared at me and said nothing., he me nothing star at say
I wasn't the one who wrote this., i one write this write who no
When is a good time for you?, good time for you when
You're a good chess player., you good good chess player
Is this wine from Argentina?, this wine this argentina
Deposit your money in the bank., your your money bank deposit
I don't have time to explain., i time explain have explain no
My uncle runs a hotel., my uncle hotel run
I'm too tired to think., i too tire think too think
I don't want to do that either., i that either want do no
I must continue., i continue
Tom is teaching us French., tom us french teach
This problem affects us all., this problem this us all affect
I never liked that one anyway., i that one anyway like no
"Tom is at work, isn't he?", tom he work no
He was angry with his daughter., he angry with his his daughter
Are you positive?, you positive
You know enough., you enough know enough
You can park here., you here park here
We better be going., we good go
Don't burn yourself., yourself burn no
Everybody knows we hate Tom., everybody we tom know hate
I've done this a thousand times., i this thousand time do
I'm sorry for what I have done., i sorry for i do what
I always obey the rules., i always rule obey
I think you lied to me., i you me think lie to
We have to clean the house tomorrow., we house tomorrow have clean
That's not really a solution., that really solution no
Tom arrived first., tom first arrive first
Can we cut to the chase here?, we chase here cut to
It's very cold., it very cold very
All the stores were closed., all store close
You've come too early., you too early come too
I hate that sound., i that sound hate
No one is coming., no one no come
Everyone thinks we're a couple., everyone we couple think
You're very stylish., you very stylish very
Everything worked without a hitch., everything hitch work without
Did you try to listen to her?, you her try listen to
"Tom lied to you, didn't he?", tom he you lie to do no
They changed the system., they system change
Tom wanted me to learn French., tom me french want learn
Tom can play the banjo., tom banjo play
I knew we were going to lose., i we know go lose
You'd better hand that over., you better that hand
This office has tinted windows., this office this window tint
I loved this book., i this book love
He put the box on the table., he box table put
He must have gotten over his cold., he his his cold get over
You don't have to talk., you have talk no
I don't want to meet your parents., i your your parent want meet no
You're my daughter., you my my daughter
I've lived a long time., i long long time live
I've been way busier than expected., i way busy expect way expect
I didn't notice it., i it notice no
Have you met the Jacksons?, you jacksons meet
Did you see it?, you it see
Let's study together., 's together let study together
I don't consider that adequate., i that adequate consider no
Where were you when I needed you?, you i when you need where
My robot's name is Multi., my robot 's name multi
I can't wait for tomorrow to come., i tomorrow wait for come no
The air is pure around here., air pure here around here
Keep in touch., touch keep in
I'm sorry I hurt you., i sorry i hurt you hurt
He's never been in love before., he love before no
Is there any salt left?, there any salt leave leave
Anyone can ask a question., anyone question ask
I don't really like you., i really you like no
She saw him driving his new car., she him his new his new car saw drive
Are you afraid of it?, you afraid of it
I need to lose a little weight., i little little weight need lose
I want to make you an offer., i you want make
I am not wearing any underwear., i any underwear wear no
I'm hoping it's only a temporary problem., i it temporary only temporary problem hop
"Let's dance, shall we?", 's we 's dance let
Tom is starved., tom starve
I think that's more than reasonable., i that more than reasonable think
She felt a bit tired., she bit tired bit felt
"In Haiti, there was a large earthquake.", there large haiti large earthquake be
I didn't know what I should say., i i know say what no
I prefer to go alone., i alone prefer go alone
We will not fail., we fail no
Do you like baseball?, you baseball like
"Can I have some water, please?", i some water have
Why do you think that?, you that think why
Don't try to do too much., too much try do too no
What did you do to it?, you it do to what
May I visit you tomorrow?, i you tomorrow visit
I guess it depends on the weather., i it weather guess depend on
They can't all be bad., they bad no
I like this., i this like
She is singing the latest popular songs., she late popular late popular song sing
Please answer the phone., phone answer
I like to invent useful things., i useful useful thing like invent
This chimney is made of brick., this chimney this brick make of
We cannot overestimate the value of health., we value of health overestimate no
This beach is a paradise for surfers., this beach this paradise for surfer
Enthusiasm is contagious., enthusiasm contagious
It freaks me out., it me freak
"Don't do anything stupid, OK?", stupid ok anything stupid do no
Can you sing this song?, you this song sing
Our ownership in the company is 60%.,our ownership in company 60 %
"So, why are you here?", you so here why
Turn left at the second traffic light., second second traffic light turn leave at
Don't worry about that now., that now worry about no
That's all I'm trying to do., that i all try try do
What would you say?, you say what
Tom forgot to file his taxes., tom his his tax forget file
We need to eat., we need eat
They're still not safe., they safe still no
It's a strange one., it strange strange one
He left a minute ago., he minute ago leave
That wasn't something I expected., that i something expect expect no
May I call you tomorrow?, i you tomorrow call
I stopped smoking., i stop smoke
Do you like looking in the mirror?, you mirror look in
I think you made the right choice., i you right right choice think make
"To be honest, I don't know.", honest i know no
Use your head for a change., your your head change use
Some of the dogs are alive., some of alive dog
I have no one to play with., i no one play have play with
The room was quiet., room quiet
My brother speaks very fast., my brother very fast speak very
I'll give you a couple examples., i you couple example give
I attended the meeting yesterday., i meet yesterday attend
I am proud to work with you., i proud work you work with
It tasted sweet., it sweet taste
That's not what I want., that i want what no
This is the calm before the storm., this calm before storm
Dad's in an impatient mood today., impatient impatient mood today
Don't try to fool me., me try fool no
I don't remember where you live., i you remember live where no
I cannot put up with her behavior., i her her behavior put up no
She read one poem to him., she one poem him read
I never use this anymore., i this anymore use no
That's what makes me nervous., that me nervous make what
The medicine didn't do me any good., medicine me any good do no
He came home at almost midnight., he home almost midnight come home
"Hey, what's up?", up what
They made fun of Mary., they fun mary make
You broke the rule., you rule break
Tom says that he can do that., tom he that say do
Everybody seeks happiness., everybody happiness seek
That will benefit the community., that community benefit
I said stop., i say stop
What does an airship look like?, airship look like what
The landing was perfect., land perfect
"Excuse me, is this seat taken?", this seat me this excuse take
I don't like to see people fighting., i people like see fight no
I spoke to him yesterday., i him yesterday speak to
My mother made a sweater for me., my mother sweater for me make
His story sounds strange., his story strange sound
Do as he tells you., he you do tell
He had few friends and little money., he few little few friend and money have
I've never told anyone., i anyone tell no
He is always prepared., he prepare always prepare
How else can he act?, he else act how
We'll try one more time., we more one more time try
I didn't mean to spook you., i you mean spook no
I didn't know you weren't Canadian., i you canadian know no
How long do you want it for?, you long it want how
Let's leave it up to him., 's it him let leave
Someone stole my belongings., someone my my belonging steal
The weather was gorgeous., weather gorgeous
I am going to sleep., i go sleep
Where's the butter?, butter where
Don't use up all the hot water., hot all hot water use up no
Tom knows he's not going to win., tom he know go win no
She got me a tiny toy., she tiny me tiny toy get
Tom has been very generous., tom very generous very
How many kids do you have?, many you many kid have how
It was a stupid idea., it stupid stupid idea
Tom seems lost., tom lose seem lose
I parked my car behind Tom's., i my my car tom 's park
They danced all night long., they all night long dance
I'm sure there's a connection., i sure there 's connection 's
Were you at home all morning?, you home all morning
Are you referring to me?, you me refer to
Tom has lots of friends in Boston., tom lot of friend in boston have
Where do you park?, you park where
I think we should make a deal., i we deal think make
I appreciate your vigilance., i your your vigilance appreciate
He's out of town., he town
My daughter is often sick., my daughter sick often
Tom says he saw nothing., tom he nothing say saw
Tom calls Mary every night., tom mary every night call
I like the color green., i color green like
I found these., i these find
You don't have a temperature., you temperature have no
When did you get your first tattoo?, you your first your first tattoo get when
I can't believe I listened to you., i i you believe listen to no
I will probably get up early tomorrow., i early probably early tomorrow get up
Handmade goods are very expensive nowadays., handmade good very expensive very nowadays
I go to school., i school go to
I'm so embarrassed., i so embarrassed so
Would it help me?, it me help
Everyone dies eventually., everyone eventually die eventually
I like it so much., i it so much like
This task took three hours., this task this three hour take
I was beginning to worry about you., i you begin worry about
You're carrying this too far., you this too far carry
I'd rather stay than go., i rather stay go
I don't think you're schizophrenic., i you schizophrenic think no
"I wanted to see you, too.", i you too want see
I'd like to see the budget., i budget like see
What's your favorite flavor of ice cream?, your favorite flavor of ice cream what
Most people think I'm crazy., most people i crazy think
I remember meeting him in Paris., i him paris remember meet
I want to become a doctor., i doctor want become
She is shy of strangers., she shy of stranger
He's on sentry duty., he sentry duty
I guess it's only a joke., i it only joke guess
I need to know everything that happened., i that everything happen need know happen
What else do we need?, we else need what
I wonder where Tom studied French., i tom french wonder study where
How do I eat this?, i this eat how
The rebels took control of the capital., rebel control of capital take
You need not have come so early., you so early come so no
I thought you hated me., i you me think hat
Where were you when the fire occurred?, you fire when occur where
He got engaged to my cousin., he engage to my my cousin get engage to
His words hurt her feelings., his word her her feeling hurt
I can't open this jar., i this jar open no
He got bored quickly., he bored quickly quickly get
It's too difficult for me., it too difficult for too me
Please say hello to him for me., him for me say
